objectid,lad16cd,lad16nm,lad16nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,population,households,single,double,treble,quadruple,quintuple_plus,household_size
1,E06000001,Hartlepool,Hartlepool,447157,531476,-1.27023005,54.67615891,94110514.79,60466.16928,91091,40434,13392,13478,6629,4759,13478,2.3
2,E06000002,Middlesbrough,Middlesbrough,451141,516887,-1.21098995,54.5446701,54147348.42,38202.12355,136156,57203,17708,18554,9221,7220,18554,2.4
3,E06000003,Redcar and Cleveland,Redcar and Cleveland,464359,519597,-1.00610995,54.56752014,244741605.9,85692.52037,133929,59605,18735,21165,9738,7119,21165,2.2
4,E06000004,Stockton-on-Tees,Stockton-on-Tees,444937,518183,-1.30668998,54.55691147,204384144.5,99766.35835,187959,79159,21986,27938,13583,10704,27938,2.4
5,E06000005,Darlington,Darlington,428029,515649,-1.56834996,54.5353508,197790116.5,97801.40112,104111,46670,15101,16657,7191,5352,16657,2.2
6,E06000006,Halton,Halton,354246,382146,-2.68852997,53.33423996,79308740.02,68021.02914,124874,53312,15833,17938,9272,7130,17938,2.3
7,E06000007,Warrington,Warrington,362744,388456,-2.56167006,53.39162827,180911464,83609.5493,198828,85140,24534,29885,14347,11868,29885,2.3
8,E06000008,Blackburn with Darwen,Blackburn with Darwen,369490,422806,-2.46359992,53.70080185,137215989.5,58842.18631,145827,57353,17419,17082,8808,7307,17082,2.5
9,E06000009,Blackpool,Blackpool,332763,436633,-3.02284002,53.8216095,34827588.28,32514.03484,137960,64367,24446,20833,9345,6399,20833,2.1
10,E06000010,"Kingston upon Hull, City of","Kingston upon Hull, City of",511894,431716,-0.30379999,53.76979065,70885135.21,53983.40369,252748,112596,39788,35562,17174,13273,35562,2.2
11,E06000011,East Riding of Yorkshire,East Riding of Yorkshire,488051,443608,-0.66202998,53.88122177,2407221454,410037.6793,326951,143032,39276,57418,21535,18017,57418,2.3
12,E06000012,North East Lincolnshire,North East Lincolnshire,523454,404574,-0.13926999,53.52336121,191651635.7,78677.40356,157786,69707,21793,25134,10699,8239,25134,2.3
13,E06000013,North Lincolnshire,North Lincolnshire,497798,410996,-0.52410001,53.58644867,847627679.4,217756.9877,165871,70684,19420,26503,11570,8983,26503,2.3
14,E06000014,York,York,460864,452589,-1.07375002,53.96582031,272378485.6,91475.57877,190392,83552,25224,31228,12414,9977,31228,2.3
15,E06000015,Derby,Derby,435609,335375,-1.47188997,52.91463852,78716686.71,44251.82092,244625,102271,31578,33604,15537,13438,33604,2.4
16,E06000016,Leicester,Leicester,458946,304594,-1.13039994,52.63592148,73219225.4,43322.0092,321527,123125,36951,33618,19422,17970,33618,2.6
17,E06000017,Rutland,Rutland,492992,308655,-0.62629998,52.66764832,394335821.2,102442.907,34252,15002,4111,6089,2217,1845,6089,2.3
