area_id,total,daytype_inweek,daytype_weekend,hod_00h,hod_01h,hod_02h,hod_03h,hod_04h,hod_05h,hod_06h,hod_07h,hod_08h,hod_09h,hod_10h,hod_11h,hod_12h,hod_13h,hod_14h,hod_15h,hod_16h,hod_17h,hod_18h,hod_19h,hod_20h,hod_21h,hod_22h,hod_23h,dow_mon,dow_tue,dow_wed,dow_thu,dow_fri,dow_sat,dow_sun
E02006056,1348.35714286,7437.75,2227.75,4.14285714286,3.92857142857,3.07142857143,4.46428571429,10.2142857143,25.8571428571,32.2857142857,50.6071428571,72.3571428571,73.6785714286,87.9285714286,92.0714285714,90.3214285714,95.8928571429,99.0357142857,98.3928571429,103.678571429,103.178571429,79.6071428571,67.8571428571,49.3571428571,46.8928571429,33.5357142857,20.0,1327.75,1437.25,1909.25,1437.75,1325.75,1100.75,900.0
E02006054,1633.53571429,8619.5,2762.75,5.21428571429,4.78571428571,3.14285714286,3.32142857143,4.64285714286,8.89285714286,24.8214285714,63.5714285714,105.75,104.642857143,123.714285714,124.571428571,122.607142857,126.25,119.285714286,115.0,111.857142857,113.321428571,96.25,81.1071428571,60.6785714286,52.0714285714,38.7857142857,19.25,1533.75,1650.75,2200.0,1643.0,1592.0,1586.25,1229.0
E02006051,1215.35714286,6484.75,2139.0,3.85714285714,3.57142857143,3.60714285714,3.28571428571,3.21428571429,7.64285714286,18.6785714286,46.75,71.2142857143,66.25,78.4642857143,82.1071428571,85.6785714286,85.9285714286,87.0357142857,88.3928571429,88.8571428571,99.0,76.6785714286,64.1071428571,53.9642857143,43.2857142857,34.5357142857,19.25,1217.75,1266.0,1613.75,1228.5,1158.75,1101.5,921.25
E02006052,1832.53571429,9756.5,3060.25,5.71428571429,5.39285714286,5.0,4.35714285714,5.75,13.6428571429,29.4285714286,70.9285714286,113.321428571,105.571428571,116.142857143,127.5,131.678571429,131.035714286,135.928571429,133.607142857,135.107142857,143.714285714,110.607142857,93.5714285714,74.0,65.7142857143,47.8571428571,26.9642857143,1688.75,1850.0,2486.5,1871.25,1860.0,1699.75,1371.5
E02006049,666.142857143,3602.5,1135.5,3.0,3.17857142857,1.78571428571,1.82142857143,2.42857142857,4.60714285714,9.32142857143,19.0357142857,29.75,35.2142857143,37.25,39.8214285714,38.4285714286,42.8214285714,45.8214285714,46.0,56.9642857143,59.8571428571,48.1071428571,42.9285714286,33.2857142857,28.0,22.2857142857,14.4285714286,652.25,731.0,901.75,697.25,620.25,577.25,483.25
E02006060,1385.17857143,7295.25,2423.5,5.96428571429,5.46428571429,2.60714285714,3.39285714286,3.28571428571,9.28571428571,19.2142857143,49.3571428571,81.6071428571,87.5357142857,102.821428571,105.464285714,107.571428571,100.607142857,101.464285714,90.6071428571,97.2142857143,106.678571429,82.1071428571,67.25,55.5357142857,45.75,34.8571428571,19.5357142857,1364.5,1402.75,1855.5,1338.0,1334.5,1342.0,1059.0
E02006057,1319.42857143,6928.75,2247.75,5.64285714286,4.92857142857,4.21428571429,3.53571428571,4.85714285714,9.03571428571,19.3214285714,45.9285714286,68.75,80.6428571429,93.6071428571,97.6428571429,94.7857142857,95.5357142857,101.714285714,94.1071428571,96.75,96.1785714286,83.6428571429,67.9285714286,51.0714285714,46.7142857143,33.0,19.8928571429,1266.5,1334.75,1726.5,1280.5,1320.5,1326.0,981.25
E02006059,1289.25,7036.0,2152.0,4.75,4.10714285714,3.25,4.67857142857,7.46428571429,15.7857142857,25.1071428571,51.1785714286,70.1071428571,68.7857142857,74.8214285714,77.6071428571,84.1071428571,84.0357142857,88.9285714286,88.6428571429,100.964285714,110.928571429,88.5714285714,70.3571428571,59.4285714286,48.75,36.5357142857,20.3571428571,1247.75,1368.75,1738.75,1349.0,1331.75,1084.5,904.25
E02006058,1064.21428571,5730.0,1879.5,3.85714285714,4.39285714286,3.32142857143,2.57142857143,2.78571428571,7.5,13.4285714286,37.5,53.1785714286,61.5357142857,70.5714285714,69.9642857143,71.6071428571,74.1071428571,73.1428571429,76.1071428571,79.7857142857,86.6428571429,70.9285714286,58.5,49.4285714286,38.9642857143,35.6428571429,18.75,1091.75,1151.0,1421.25,1067.25,998.75,931.75,787.75
E02006055,2004.17857143,10654.5,3336.0,5.89285714286,5.96428571429,5.89285714286,5.39285714286,12.9642857143,27.6428571429,29.4642857143,64.2857142857,110.535714286,106.392857143,121.071428571,131.714285714,143.071428571,147.75,155.75,148.785714286,154.0,167.214285714,129.642857143,102.892857143,81.8214285714,70.8571428571,49.0357142857,26.1428571429,1830.0,2013.75,2746.0,1991.75,2073.0,1868.75,1506.0
E02006053,1153.64285714,6209.5,1946.0,4.53571428571,3.92857142857,2.89285714286,3.39285714286,3.67857142857,12.8928571429,24.6785714286,45.8928571429,58.9285714286,71.4285714286,83.3214285714,79.6071428571,78.3928571429,75.4642857143,80.0714285714,79.8928571429,85.8214285714,86.9285714286,71.7142857143,62.8928571429,45.1071428571,38.9642857143,31.1785714286,22.0357142857,1109.25,1221.5,1555.25,1208.75,1114.75,1029.25,836.75
E02006048,1173.21428571,6321.25,1995.75,4.39285714286,4.32142857143,3.17857142857,3.75,4.96428571429,11.4642857143,22.6428571429,50.2142857143,63.7142857143,63.2857142857,70.0357142857,71.4642857143,74.5714285714,75.5,78.6428571429,83.1071428571,87.7142857143,92.2857142857,81.0714285714,71.4642857143,53.7857142857,43.9642857143,34.8571428571,22.8214285714,1148.5,1239.25,1581.75,1185.5,1166.25,1044.0,847.25
E02006047,1023.75,5634.75,1703.5,3.17857142857,3.67857142857,3.10714285714,2.60714285714,3.39285714286,7.14285714286,20.5357142857,38.1071428571,59.7142857143,61.25,72.1071428571,71.75,70.5714285714,66.25,68.3928571429,69.25,75.7142857143,77.0714285714,65.75,55.9642857143,41.8214285714,36.1071428571,31.25,19.0357142857,1023.5,1133.25,1413.75,1089.5,974.75,851.5,680.0
E02006050,850.0,4585.25,1428.0,2.85714285714,2.57142857143,2.14285714286,2.07142857143,3.21428571429,10.0,21.25,33.3214285714,46.4642857143,50.6785714286,55.6071428571,58.9642857143,59.9285714286,61.8571428571,61.6428571429,59.3214285714,64.9285714286,63.3571428571,53.6071428571,43.6071428571,32.3214285714,26.6785714286,21.4285714286,12.1785714286,813.5,890.75,1149.0,863.5,868.5,750.25,614.5
