zone_id,origin_area_id,destination_area_id,total,daytype_inweek,daytype_weekend,hod_00h,hod_01h,hod_02h,hod_03h,hod_04h,hod_05h,hod_06h,hod_07h,hod_08h,hod_09h,hod_10h,hod_11h,hod_12h,hod_13h,hod_14h,hod_15h,hod_16h,hod_17h,hod_18h,hod_19h,hod_20h,hod_21h,hod_22h,hod_23h,dow_mon,dow_tue,dow_wed,dow_thu,dow_fri,dow_sat,dow_sun
S12000041,S02001358,S02001356,36.8214285714,203.0,62.0,0.107142857143,0.142857142857,0.107142857143,0.107142857143,0.0357142857143,0.0714285714286,0.214285714286,1.0,2.35714285714,2.64285714286,2.39285714286,2.39285714286,2.46428571429,3.14285714286,2.14285714286,2.89285714286,2.60714285714,3.17857142857,2.35714285714,2.03571428571,1.5,1.5,1.10714285714,0.321428571429,37.5,45.25,48.0,41.75,30.5,30.25,24.5
S12000041,S02001356,S02001356,152.107142857,795.75,289.0,0.714285714286,1.03571428571,0.785714285714,0.642857142857,0.428571428571,0.964285714286,2.14285714286,4.57142857143,9.35714285714,9.28571428571,9.03571428571,9.53571428571,11.0,9.42857142857,11.1428571429,11.3928571429,11.3571428571,10.9642857143,9.17857142857,7.89285714286,6.82142857143,6.89285714286,4.71428571429,2.82142857143,157.0,154.75,195.0,151.25,137.75,137.0,132.0
S12000041,S02001362,S02001356,7.10714285714,38.5,10.75,0.0357142857143,0.0,0.0,0.0357142857143,0.0,0.0,0.0714285714286,0.321428571429,0.357142857143,0.321428571429,0.571428571429,0.285714285714,0.5,0.535714285714,0.642857142857,0.678571428571,0.571428571429,0.607142857143,0.535714285714,0.428571428571,0.285714285714,0.178571428571,0.0714285714286,0.0714285714286,6.0,9.0,9.75,6.5,7.25,6.5,4.75
S12000041,S02001351,S02001356,64.2142857143,351.75,106.75,0.285714285714,0.178571428571,0.142857142857,0.0714285714286,0.464285714286,0.392857142857,1.42857142857,2.14285714286,3.25,3.53571428571,3.75,3.53571428571,4.5,4.03571428571,4.46428571429,4.82142857143,5.39285714286,6.42857142857,4.32142857143,3.57142857143,3.14285714286,2.32142857143,1.42857142857,0.607142857143,65.75,72.75,85.25,63.75,64.25,56.75,41.0
S12000041,S02001365,S02001356,18.4285714286,103.25,32.25,0.0714285714286,0.0714285714286,0.0,0.0,0.0,0.821428571429,0.142857142857,0.5,0.785714285714,0.642857142857,1.0,1.5,1.57142857143,1.5,1.5,2.03571428571,1.85714285714,1.07142857143,1.0,0.785714285714,0.607142857143,0.607142857143,0.285714285714,0.0714285714286,21.0,20.75,26.0,20.5,15.0,14.5,11.25
S12000041,S02001357,S02001356,93.6428571429,508.0,167.5,0.464285714286,0.678571428571,0.392857142857,0.0714285714286,0.142857142857,0.285714285714,0.821428571429,2.28571428571,4.78571428571,4.82142857143,4.35714285714,4.75,5.28571428571,6.82142857143,6.85714285714,8.10714285714,9.25,10.3928571429,6.32142857143,6.03571428571,5.17857142857,2.89285714286,1.92857142857,0.714285714286,101.25,94.25,127.5,99.75,85.25,81.25,66.25
S12000041,S02001350,S02001356,28.1785714286,154.5,49.0,0.0,0.25,0.0357142857143,0.0714285714286,0.0357142857143,0.142857142857,0.25,1.14285714286,1.35714285714,1.60714285714,1.57142857143,1.82142857143,1.89285714286,2.03571428571,2.21428571429,2.60714285714,2.03571428571,2.17857142857,1.89285714286,1.39285714286,1.28571428571,1.42857142857,0.607142857143,0.321428571429,30.0,29.0,39.25,28.0,28.25,23.75,19.0
S12000041,S02001360,S02001356,26.8928571429,144.0,46.5,0.0714285714286,0.0714285714286,0.0357142857143,0.0714285714286,0.0,0.214285714286,0.714285714286,2.21428571429,1.78571428571,2.0,1.67857142857,1.21428571429,1.67857142857,2.32142857143,1.89285714286,1.42857142857,1.67857142857,1.60714285714,1.96428571429,1.14285714286,1.28571428571,0.892857142857,0.678571428571,0.25,29.0,29.25,36.25,30.25,19.25,26.75,17.5
S12000041,S02001367,S02001356,4.42857142857,26.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0357142857143,0.107142857143,0.214285714286,0.428571428571,0.214285714286,0.0714285714286,0.392857142857,0.25,0.464285714286,0.428571428571,0.178571428571,0.25,0.428571428571,0.464285714286,0.214285714286,0.142857142857,0.107142857143,0.0357142857143,0.0,4.25,6.5,6.0,4.75,5.0,1.75,2.75
S12000041,S02001364,S02001356,19.2142857143,106.0,33.75,0.0714285714286,0.0357142857143,0.0714285714286,0.0,0.0714285714286,0.0714285714286,0.0357142857143,0.785714285714,1.57142857143,0.607142857143,1.39285714286,0.892857142857,1.46428571429,1.28571428571,1.64285714286,1.67857142857,1.42857142857,1.75,1.10714285714,0.928571428571,0.857142857143,0.785714285714,0.607142857143,0.0714285714286,21.0,22.5,23.5,20.75,18.25,15.75,12.75
