area_id,total,daytype_inweek,daytype_weekend,hod_00h,hod_01h,hod_02h,hod_03h,hod_04h,hod_05h,hod_06h,hod_07h,hod_08h,hod_09h,hod_10h,hod_11h,hod_12h,hod_13h,hod_14h,hod_15h,hod_16h,hod_17h,hod_18h,hod_19h,hod_20h,hod_21h,hod_22h,hod_23h,dow_mon,dow_tue,dow_wed,dow_thu,dow_fri,dow_sat,dow_sun
W02000362,1060.92857143,5669.25,1804.25,6.89285714286,6.25,5.42857142857,4.78571428571,3.85714285714,9.42857142857,14.3928571429,26.6785714286,36.1071428571,43.0714285714,55.3928571429,67.3928571429,73.0357142857,72.8571428571,78.4285714286,80.6785714286,85.6428571429,91.4642857143,78.8214285714,66.2857142857,53.25,43.5357142857,35.2857142857,21.9642857143,1039.25,1110.25,1380.5,1082.0,1057.25,992.25,765.0
W02000359,1892.32142857,10207.0,3236.5,13.0714285714,14.1071428571,10.6071428571,8.67857142857,9.17857142857,20.7857142857,27.8214285714,51.25,78.8928571429,89.75,107.714285714,122.642857143,126.5,135.857142857,137.678571429,130.535714286,143.535714286,137.5,126.035714286,114.607142857,98.0,80.9285714286,67.1071428571,39.5357142857,1864.5,2059.75,2513.0,1917.75,1852.0,1667.25,1372.0
W02000364,2189.64285714,11851.5,3640.75,12.4285714286,13.0714285714,9.64285714286,8.71428571429,11.2857142857,38.3214285714,56.4285714286,86.6071428571,125.642857143,128.464285714,143.392857143,152.535714286,164.964285714,164.821428571,157.25,146.821428571,144.75,138.678571429,130.964285714,111.571428571,83.2142857143,66.8571428571,56.9642857143,36.25,2123.75,2330.25,2949.0,2253.25,2195.25,1959.0,1517.0
W02000351,1006.07142857,5411.25,1693.25,7.71428571429,7.28571428571,5.39285714286,4.5,3.71428571429,9.21428571429,13.7142857143,20.5714285714,33.4642857143,42.9285714286,50.3928571429,59.0714285714,65.2857142857,68.3571428571,75.1785714286,75.8928571429,79.6428571429,82.9642857143,79.3214285714,66.0714285714,54.7142857143,44.3571428571,34.5714285714,21.75,966.75,1070.25,1308.5,1054.25,1011.5,904.75,726.5
W02000361,3071.53571429,16578.5,5198.0,17.8928571429,18.1071428571,12.8571428571,10.8571428571,19.0,69.1785714286,75.1785714286,113.571428571,151.142857143,165.642857143,189.964285714,205.25,219.714285714,225.285714286,224.071428571,210.285714286,205.607142857,209.071428571,190.535714286,163.5,131.321428571,109.357142857,81.75,52.3928571429,3021.75,3243.75,4064.0,3153.0,3096.0,2746.0,2176.25
W02000347,1713.32142857,9192.75,3009.25,10.2142857143,10.6428571429,9.07142857143,5.67857142857,6.92857142857,16.1785714286,35.4642857143,54.6428571429,81.8214285714,83.1071428571,92.8928571429,105.357142857,112.857142857,117.928571429,123.607142857,124.321428571,132.071428571,133.392857143,116.892857143,99.4285714286,84.9285714286,67.7857142857,52.6428571429,35.4642857143,1716.5,1832.25,2207.75,1708.75,1727.5,1507.75,1292.75
W02000349,1332.42857143,7093.5,2278.5,10.4285714286,9.96428571429,7.64285714286,5.92857142857,5.46428571429,8.60714285714,12.0357142857,25.1071428571,38.2857142857,44.2857142857,61.6071428571,71.6428571429,86.0714285714,90.9642857143,103.892857143,111.642857143,114.892857143,117.25,101.964285714,87.0,76.25,63.8928571429,48.7142857143,28.8928571429,1296.0,1391.0,1678.5,1352.75,1375.25,1251.0,982.5
W02000363,1032.32142857,5560.25,1744.0,7.46428571429,6.92857142857,4.82142857143,4.39285714286,5.0,8.57142857143,15.0714285714,34.1071428571,47.1785714286,49.3928571429,61.6785714286,63.1428571429,71.8571428571,72.6428571429,73.8571428571,74.3571428571,77.5714285714,73.4642857143,72.2857142857,59.75,50.2142857143,41.8214285714,35.2857142857,21.4642857143,1000.5,1106.25,1356.5,1048.75,1048.25,922.5,743.5
W02000358,1326.53571429,7115.25,2216.25,9.0,7.64285714286,6.71428571429,5.25,4.07142857143,11.1428571429,23.4285714286,45.5,61.5357142857,70.4285714286,79.0714285714,87.7857142857,92.0357142857,95.7142857143,91.3928571429,93.5357142857,96.75,97.25,89.3214285714,77.6785714286,66.6785714286,49.0357142857,40.2142857143,25.3571428571,1257.5,1416.0,1730.5,1365.25,1346.0,1211.75,958.75
W02000348,1498.42857143,7952.25,2556.5,10.8214285714,10.2142857143,7.85714285714,5.89285714286,4.85714285714,8.96428571429,15.25,34.3214285714,49.8214285714,57.4285714286,72.8571428571,88.7857142857,96.8571428571,104.892857143,107.178571429,117.535714286,133.035714286,133.357142857,115.75,98.25,81.8571428571,63.7857142857,49.5714285714,29.2857142857,1424.25,1542.0,1961.75,1506.0,1518.25,1404.5,1132.25
W02000352,1560.60714286,8416.0,2636.75,9.71428571429,9.78571428571,7.57142857143,6.25,5.92857142857,12.5714285714,21.0714285714,41.4285714286,65.4642857143,78.4642857143,93.3928571429,99.75,105.642857143,108.75,113.142857143,111.107142857,121.678571429,114.178571429,109.642857143,98.7857142857,75.8214285714,69.0714285714,50.2857142857,31.1071428571,1523.5,1646.25,2039.25,1618.75,1588.25,1395.0,1113.25
W02000354,956.321428571,5111.75,1643.5,6.64285714286,6.42857142857,6.28571428571,4.03571428571,4.14285714286,9.96428571429,10.3571428571,16.5714285714,29.4285714286,37.3571428571,46.3928571429,55.7857142857,63.3571428571,67.4642857143,73.25,76.25,83.0714285714,83.3928571429,70.8214285714,62.75,51.0714285714,41.9642857143,32.1785714286,17.3571428571,939.0,1010.25,1223.0,975.0,964.5,878.0,704.5
W02000350,1950.64285714,10554.75,3343.75,10.6428571429,10.3571428571,8.14285714286,8.39285714286,15.1071428571,68.1071428571,56.0,75.25,86.0,91.9285714286,98.6071428571,111.214285714,125.607142857,149.964285714,133.678571429,126.392857143,136.607142857,143.75,120.071428571,106.285714286,91.5357142857,86.5714285714,56.75,33.6785714286,1943.5,2023.0,2566.5,2059.25,1962.5,1699.5,1400.25
W02000360,4007.53571429,21724.75,6360.0,21.6071428571,19.3214285714,13.4642857143,11.3214285714,14.0357142857,37.3571428571,79.4642857143,165.607142857,248.25,275.035714286,303.107142857,322.678571429,323.857142857,318.678571429,301.107142857,265.535714286,245.071428571,235.5,225.071428571,182.678571429,141.214285714,108.392857143,88.2142857143,60.9642857143,3749.0,4237.75,5315.5,4146.25,4276.25,3717.0,2611.0
W02000355,1717.75,9113.75,2934.75,9.75,10.1071428571,8.53571428571,5.64285714286,8.42857142857,12.8214285714,23.6428571429,49.0714285714,58.1071428571,70.5357142857,90.7142857143,102.678571429,117.964285714,118.535714286,125.678571429,130.821428571,140.035714286,144.785714286,127.214285714,108.928571429,88.1428571429,73.6071428571,57.0357142857,34.9642857143,1639.75,1793.0,2233.0,1742.75,1705.25,1615.5,1295.0
W02000357,1721.10714286,9201.25,2972.25,12.8571428571,14.0,8.67857142857,7.14285714286,6.53571428571,15.25,26.4642857143,40.7857142857,67.3928571429,82.0357142857,100.035714286,109.071428571,121.892857143,125.321428571,127.714285714,127.928571429,125.892857143,129.285714286,121.535714286,106.535714286,84.5,68.5357142857,57.7857142857,33.9285714286,1705.75,1810.0,2236.5,1707.25,1741.75,1580.0,1266.5
W02000353,1462.96428571,7845.0,2445.5,9.42857142857,10.3214285714,7.10714285714,4.89285714286,5.25,11.25,16.5357142857,40.4285714286,72.4285714286,80.0357142857,90.4642857143,97.9642857143,103.892857143,104.464285714,106.107142857,107.464285714,107.178571429,108.571428571,99.5714285714,85.8571428571,71.5714285714,52.9285714286,44.7142857143,24.5357142857,1392.0,1538.0,1926.0,1497.5,1491.5,1342.25,1053.5
W02000366,2845.14285714,15641.75,4748.25,15.5,17.8214285714,13.0,9.67857142857,16.5714285714,45.9642857143,76.7857142857,156.464285714,181.821428571,172.25,176.142857143,183.678571429,207.0,209.464285714,192.321428571,187.785714286,177.964285714,184.642857143,166.464285714,136.0,108.857142857,92.4642857143,69.9642857143,46.5357142857,2835.0,3075.25,3861.5,2994.75,2875.25,2361.0,1913.25
W02000356,1132.85714286,6000.0,1956.0,6.67857142857,6.5,5.67857142857,4.92857142857,5.42857142857,11.0357142857,15.8214285714,29.6071428571,40.9642857143,53.3214285714,63.1071428571,71.7857142857,75.2857142857,81.8214285714,84.3571428571,84.2142857143,87.4285714286,93.25,85.75,69.3571428571,55.5357142857,45.25,33.8571428571,21.8928571429,1111.0,1189.25,1434.0,1101.75,1164.0,1085.0,845.0
W02000365,1401.21428571,7564.5,2358.5,7.78571428571,10.3571428571,6.39285714286,5.07142857143,7.21428571429,14.6785714286,26.8571428571,48.3571428571,63.9642857143,72.0714285714,81.9285714286,91.4285714286,95.9642857143,99.7142857143,99.25,100.035714286,102.75,95.3571428571,97.3214285714,79.4642857143,66.7857142857,57.8571428571,45.4285714286,25.1785714286,1348.75,1477.75,1850.0,1441.75,1446.25,1234.25,1009.75
