area_id,total,daytype_inweek,daytype_weekend,hod_00h,hod_01h,hod_02h,hod_03h,hod_04h,hod_05h,hod_06h,hod_07h,hod_08h,hod_09h,hod_10h,hod_11h,hod_12h,hod_13h,hod_14h,hod_15h,hod_16h,hod_17h,hod_18h,hod_19h,hod_20h,hod_21h,hod_22h,hod_23h,dow_mon,dow_tue,dow_wed,dow_thu,dow_fri,dow_sat,dow_sun
E02002483,971.571428571,5089.75,1635.75,4.46428571429,3.96428571429,2.75,2.17857142857,1.71428571429,3.03571428571,8.42857142857,18.3928571429,32.5714285714,45.2142857143,59.8214285714,67.4285714286,72.5714285714,76.2857142857,78.3214285714,79.2142857143,84.7142857143,84.2142857143,70.1071428571,59.5,43.7142857143,32.3928571429,23.25,17.3214285714,889.25,984.5,1286.5,957.25,972.25,964.75,746.5
E02002490,758.857142857,3974.5,1308.5,2.82142857143,3.07142857143,2.46428571429,2.14285714286,2.96428571429,6.42857142857,10.4285714286,22.3571428571,29.3571428571,40.1785714286,46.1785714286,54.8571428571,59.2857142857,58.7142857143,57.3571428571,59.0714285714,59.0714285714,57.7142857143,50.6785714286,42.9642857143,33.0714285714,25.7857142857,19.6071428571,12.2857142857,713.75,778.25,980.0,722.75,779.75,742.75,594.75
E02002485,837.142857143,4435.75,1388.0,3.39285714286,4.21428571429,2.28571428571,3.03571428571,2.46428571429,4.53571428571,12.4642857143,18.25,31.6428571429,43.6428571429,57.5714285714,62.1071428571,69.9642857143,66.2142857143,67.1428571429,67.6785714286,65.6785714286,59.1071428571,54.7857142857,47.3928571429,36.0714285714,26.8571428571,18.8928571429,11.75,770.75,864.5,1072.0,820.0,908.5,807.0,617.25
E02002484,1184.82142857,6219.0,1966.75,4.35714285714,5.64285714286,3.32142857143,3.03571428571,3.32142857143,6.35714285714,11.7857142857,27.6785714286,49.4285714286,62.25,77.5,90.5,93.75,95.7857142857,91.8571428571,91.1428571429,92.1785714286,90.0,79.1785714286,65.8214285714,54.1785714286,38.5,28.3928571429,18.8571428571,1084.0,1211.0,1550.5,1158.0,1215.5,1192.0,882.75
E02002493,1172.75,6345.75,1969.5,3.96428571429,4.35714285714,4.46428571429,3.28571428571,3.92857142857,16.1071428571,36.0714285714,54.75,61.8571428571,62.0714285714,70.4642857143,82.5714285714,88.9642857143,84.3928571429,88.6071428571,81.2142857143,81.7857142857,82.0357142857,72.6428571429,62.8571428571,47.5,36.8214285714,25.5714285714,16.4642857143,1158.0,1270.75,1575.0,1159.5,1182.5,1052.0,811.5
E02006909,1233.28571429,6613.25,2042.25,6.42857142857,6.42857142857,4.5,4.57142857143,3.21428571429,6.60714285714,19.0357142857,34.4642857143,49.2142857143,58.75,74.2142857143,86.2857142857,96.2142857143,92.0357142857,100.428571429,98.8571428571,97.9285714286,95.0,80.4285714286,72.8571428571,52.3214285714,41.9285714286,30.5357142857,21.0357142857,1175.5,1313.25,1660.25,1205.25,1259.0,1153.0,866.75
E02002494,1030.17857143,5439.5,1694.0,4.46428571429,3.82142857143,3.42857142857,3.14285714286,2.17857142857,4.10714285714,8.75,20.3571428571,37.2857142857,47.5357142857,64.9642857143,78.8214285714,87.9285714286,88.1785714286,91.2142857143,83.4285714286,85.9285714286,75.5,67.2142857143,56.6071428571,42.9642857143,32.8928571429,23.7857142857,15.6785714286,946.5,1070.0,1296.0,1016.25,1110.75,1024.25,747.5
E02002488,707.892857143,3729.0,1198.25,3.03571428571,3.07142857143,1.89285714286,1.75,2.78571428571,5.60714285714,9.03571428571,18.6071428571,28.6785714286,35.9642857143,41.2142857143,49.5714285714,53.1071428571,54.4285714286,53.7142857143,52.9642857143,58.4285714286,59.3214285714,46.9642857143,41.7857142857,32.3571428571,22.8571428571,18.5714285714,12.1785714286,682.25,715.75,914.0,680.75,736.25,710.25,516.0
E02002487,966.071428571,5070.25,1662.25,3.96428571429,4.67857142857,3.46428571429,2.64285714286,2.57142857143,5.28571428571,10.0,25.9642857143,42.4285714286,55.3928571429,63.0357142857,68.5,75.25,80.4285714286,75.6428571429,75.8928571429,70.9285714286,68.6071428571,64.7857142857,54.0714285714,40.7857142857,32.1071428571,23.3928571429,16.25,947.75,987.75,1206.5,918.25,1010.0,977.75,714.5
E02002492,1241.5,6577.5,2092.75,3.71428571429,5.0,4.10714285714,4.0,4.35714285714,11.1785714286,27.1428571429,48.6071428571,59.3928571429,69.5,76.2142857143,87.6071428571,94.7857142857,95.6071428571,92.8214285714,94.5714285714,88.0,91.5,77.6071428571,66.3571428571,51.9642857143,40.6785714286,29.0357142857,17.75,1170.25,1260.25,1607.5,1206.75,1332.75,1190.5,922.5
E02002491,969.285714286,5123.5,1653.75,4.17857142857,4.0,3.03571428571,2.82142857143,2.60714285714,7.14285714286,11.8571428571,24.3214285714,44.1071428571,51.1071428571,61.3214285714,65.75,74.0714285714,71.6071428571,76.2142857143,78.8571428571,73.8928571429,74.1785714286,64.1785714286,54.6428571429,43.6428571429,35.6785714286,23.5,16.5714285714,937.5,1026.5,1215.25,911.75,1032.5,945.25,716.25
E02002489,1280.53571429,6719.5,2121.75,4.5,6.0,4.17857142857,3.39285714286,2.53571428571,6.35714285714,13.7857142857,35.1785714286,58.1428571429,73.0357142857,86.1785714286,97.5357142857,103.964285714,102.285714286,100.821428571,92.4642857143,93.75,93.1428571429,81.2142857143,73.7142857143,56.0357142857,40.8928571429,30.3571428571,21.0714285714,1189.25,1332.25,1643.75,1221.0,1333.25,1311.75,932.5
