Afghanistan,41240,Areba
Afghanistan,41250,Etislat
Afghanistan,41220,Roshan
Afghanistan,41201,Telephone Systems International (AWCC)
Albania,27601,AMC Mobile
Albania,27603,Eagle Mobile
Albania,27602,Vodafone
Algeria,60301,ATM Mobilis
Algeria,60302,Orascom Telecom Algerie Spa (Djezzy)
Algeria,60303,Wataniya Telecom (Nedjma)
Andorra,21303,Mobiland (S.T.A.)
Angola,63102,Unitel
Anguilla,365840,Cable & Wireless
Anguilla,365850,Wireless Ventures Ltd (Digicel Anguilla)
Antigua and Barbuda,34430,APUA
Argentina,722310,AMX Argentina (Claro)
Argentina,722320,AMX Argentina (Claro)
Argentina,722330,AMX Argentina (Claro)
Argentina,722340,Personal GSM 1900
Argentina,72270,Telefonica Movistar
Armenia,28301,ArmenTel
Armenia,28305,Vivacell(K Telecom)
Aruba,36320,New Millenium Telecom Services N.V.
Aruba,36301,SETAR (Servicio di Telecomunicacion di Aruba)
Australia,50506,Hutchison 3G
Australia,50502,Optus
Australia,50501,Telstra
Australia,50503,Vodafone
Austria,23205,Connect (One)
Austria,23210,Hutchison 3G
Austria,23203,Max Mobile (T-Mobile)
Austria,23201,Mobilkom A1
Austria,23211,Mobilkom A1
Austria,23209,Mobilkom A1
Austria,23207,Telering
Azerbaijan,40001,Azercell
Azerbaijan,40004,Azerfon
Azerbaijan,40002,Bakcell
Bahamas,364390,Bahamas Telecommunications Company Ltd
Bahrain,42601,Batelco
Bahrain,42602,MTC Vodafone (Bahrain) B.S.C.
Bangladesh,47001,GrameenPhone
Bangladesh,47003,Sheba Telecom (Banglalink)
Bangladesh,47002,TM International (AKTEL)
Bangladesh,47007,Warid Telecom
Barbados,342600,Cable & Wireless
Barbados,342800,Ozone Wireless
Belarus,25704,Belarusian Telecommunications Network CJSC
Belarus,25701,Mobile Digital Communications (VELCOM)
Belarus,25702,Mobile Telesystems
Belgium,20601,Belgacom Mobile (Proximus)
Belgium,20620,KPN Orange (BASE)
Belgium,20610,Mobistar
